industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,0
A,"Agriculture, forestry and fishing",1991,0
A,"Agriculture, forestry and fishing",1992,0
A,"Agriculture, forestry and fishing",1993,0
A,"Agriculture, forestry and fishing",1994,0.3
A,"Agriculture, forestry and fishing",1995,0.7
A,"Agriculture, forestry and fishing",1996,1.4
A,"Agriculture, forestry and fishing",1997,2.9
A,"Agriculture, forestry and fishing",1998,3.7
A,"Agriculture, forestry and fishing",1999,5.3
A,"Agriculture, forestry and fishing",2000,7.2
A,"Agriculture, forestry and fishing",2001,9.7
A,"Agriculture, forestry and fishing",2002,12.2
A,"Agriculture, forestry and fishing",2003,15.1
A,"Agriculture, forestry and fishing",2004,18.8
A,"Agriculture, forestry and fishing",2005,22.1
A,"Agriculture, forestry and fishing",2006,25.6
A,"Agriculture, forestry and fishing",2007,29.9
A,"Agriculture, forestry and fishing",2008,32
A,"Agriculture, forestry and fishing",2009,35.5
A,"Agriculture, forestry and fishing",2010,40.5
A,"Agriculture, forestry and fishing",2011,42
A,"Agriculture, forestry and fishing",2012,46.1
A,"Agriculture, forestry and fishing",2013,46.5
A,"Agriculture, forestry and fishing",2014,50.5
A,"Agriculture, forestry and fishing",2015,52
A,"Agriculture, forestry and fishing",2016,51.6
A,"Agriculture, forestry and fishing",2017,51.6
A,"Agriculture, forestry and fishing",2018,50.7
B,Mining and quarrying,1990,0
B,Mining and quarrying,1991,0
B,Mining and quarrying,1992,0
B,Mining and quarrying,1993,0
B,Mining and quarrying,1994,0.6
B,Mining and quarrying,1995,1.3
B,Mining and quarrying,1996,2.1
B,Mining and quarrying,1997,3
B,Mining and quarrying,1998,3.9
B,Mining and quarrying,1999,5
B,Mining and quarrying,2000,6.1
B,Mining and quarrying,2001,7.1
B,Mining and quarrying,2002,8.1
B,Mining and quarrying,2003,9
B,Mining and quarrying,2004,9.8
B,Mining and quarrying,2005,10.7
B,Mining and quarrying,2006,11.4
B,Mining and quarrying,2007,12.2
B,Mining and quarrying,2008,12.6
B,Mining and quarrying,2009,12.9
B,Mining and quarrying,2010,13.1
B,Mining and quarrying,2011,13.5
B,Mining and quarrying,2012,14.4
B,Mining and quarrying,2013,13.3
B,Mining and quarrying,2014,13.8
B,Mining and quarrying,2015,13.4
B,Mining and quarrying,2016,12.4
B,Mining and quarrying,2017,11.3
B,Mining and quarrying,2018,10.8
C,Manufacturing,1990,14391.2
C,Manufacturing,1991,14988.7
C,Manufacturing,1992,15590.9
C,Manufacturing,1993,16208.3
C,Manufacturing,1994,16871
C,Manufacturing,1995,17833.4
C,Manufacturing,1996,18329.7
C,Manufacturing,1997,20066.2
C,Manufacturing,1998,15752.5
C,Manufacturing,1999,6697.8
C,Manufacturing,2000,4018.2
C,Manufacturing,2001,3897.1
C,Manufacturing,2002,3596.5
C,Manufacturing,2003,3772.3
C,Manufacturing,2004,1921.2
C,Manufacturing,2005,2004
C,Manufacturing,2006,2042.7
C,Manufacturing,2007,1851.5
C,Manufacturing,2008,1692.6
C,Manufacturing,2009,1705.3
C,Manufacturing,2010,1832.9
C,Manufacturing,2011,1675.3
C,Manufacturing,2012,1703.5
C,Manufacturing,2013,1748.9
C,Manufacturing,2014,1778.1
C,Manufacturing,2015,1803.3
C,Manufacturing,2016,1716.4
C,Manufacturing,2017,1659.4
C,Manufacturing,2018,1581.6
D,"Electricity, gas, steam and air conditioning supply",1990,0
D,"Electricity, gas, steam and air conditioning supply",1991,0
D,"Electricity, gas, steam and air conditioning supply",1992,0
D,"Electricity, gas, steam and air conditioning supply",1993,0
D,"Electricity, gas, steam and air conditioning supply",1994,0.3
D,"Electricity, gas, steam and air conditioning supply",1995,0.7
D,"Electricity, gas, steam and air conditioning supply",1996,1.2
D,"Electricity, gas, steam and air conditioning supply",1997,1.7
D,"Electricity, gas, steam and air conditioning supply",1998,2.4
D,"Electricity, gas, steam and air conditioning supply",1999,3.1
D,"Electricity, gas, steam and air conditioning supply",2000,4
D,"Electricity, gas, steam and air conditioning supply",2001,5
D,"Electricity, gas, steam and air conditioning supply",2002,6.1
D,"Electricity, gas, steam and air conditioning supply",2003,7.2
D,"Electricity, gas, steam and air conditioning supply",2004,7.9
D,"Electricity, gas, steam and air conditioning supply",2005,8.9
D,"Electricity, gas, steam and air conditioning supply",2006,10
D,"Electricity, gas, steam and air conditioning supply",2007,11.4
D,"Electricity, gas, steam and air conditioning supply",2008,12.2
D,"Electricity, gas, steam and air conditioning supply",2009,14.9
