industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,17187.6
A,"Agriculture, forestry and fishing",1991,17240.9
A,"Agriculture, forestry and fishing",1992,16699.6
A,"Agriculture, forestry and fishing",1993,16259.5
A,"Agriculture, forestry and fishing",1994,16729.6
A,"Agriculture, forestry and fishing",1995,16828.9
A,"Agriculture, forestry and fishing",1996,17045.4
A,"Agriculture, forestry and fishing",1997,17272.7
A,"Agriculture, forestry and fishing",1998,16965.5
A,"Agriculture, forestry and fishing",1999,17068.2
A,"Agriculture, forestry and fishing",2000,16188.1
A,"Agriculture, forestry and fishing",2001,15424.4
A,"Agriculture, forestry and fishing",2002,15456.3
A,"Agriculture, forestry and fishing",2003,15407
A,"Agriculture, forestry and fishing",2004,15133.9
A,"Agriculture, forestry and fishing",2005,14916.2
A,"Agriculture, forestry and fishing",2006,14373.6
A,"Agriculture, forestry and fishing",2007,14092.3
A,"Agriculture, forestry and fishing",2008,13920.2
A,"Agriculture, forestry and fishing",2009,13965.7
A,"Agriculture, forestry and fishing",2010,14046.2
A,"Agriculture, forestry and fishing",2011,14136.7
A,"Agriculture, forestry and fishing",2012,14050.1
A,"Agriculture, forestry and fishing",2013,14035.7
A,"Agriculture, forestry and fishing",2014,14568.8
A,"Agriculture, forestry and fishing",2015,14081.4
A,"Agriculture, forestry and fishing",2016,14088.6
A,"Agriculture, forestry and fishing",2017,14369.7
A,"Agriculture, forestry and fishing",2018,14273.4
B,Mining and quarrying,1990,353.5
B,Mining and quarrying,1991,357.9
B,Mining and quarrying,1992,371.5
B,Mining and quarrying,1993,398
B,Mining and quarrying,1994,457.8
B,Mining and quarrying,1995,467.8
B,Mining and quarrying,1996,515.6
B,Mining and quarrying,1997,521.1
B,Mining and quarrying,1998,540.3
B,Mining and quarrying,1999,526.7
B,Mining and quarrying,2000,529.2
B,Mining and quarrying,2001,529.7
B,Mining and quarrying,2002,600.7
B,Mining and quarrying,2003,513.7
