industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,0
A,"Agriculture, forestry and fishing",1991,0
A,"Agriculture, forestry and fishing",1992,0
A,"Agriculture, forestry and fishing",1993,0
A,"Agriculture, forestry and fishing",1994,0
A,"Agriculture, forestry and fishing",1995,0
A,"Agriculture, forestry and fishing",1996,0
A,"Agriculture, forestry and fishing",1997,0
A,"Agriculture, forestry and fishing",1998,0
A,"Agriculture, forestry and fishing",1999,0
A,"Agriculture, forestry and fishing",2000,0
A,"Agriculture, forestry and fishing",2001,0
A,"Agriculture, forestry and fishing",2002,0
A,"Agriculture, forestry and fishing",2003,0
A,"Agriculture, forestry and fishing",2004,0
A,"Agriculture, forestry and fishing",2005,0
A,"Agriculture, forestry and fishing",2006,0
A,"Agriculture, forestry and fishing",2007,0
A,"Agriculture, forestry and fishing",2008,0
A,"Agriculture, forestry and fishing",2009,0
A,"Agriculture, forestry and fishing",2010,0
A,"Agriculture, forestry and fishing",2011,0
A,"Agriculture, forestry and fishing",2012,0
A,"Agriculture, forestry and fishing",2013,0
A,"Agriculture, forestry and fishing",2014,0
A,"Agriculture, forestry and fishing",2015,0
A,"Agriculture, forestry and fishing",2016,0
A,"Agriculture, forestry and fishing",2017,0
A,"Agriculture, forestry and fishing",2018,0
B,Mining and quarrying,1990,0
B,Mining and quarrying,1991,0
B,Mining and quarrying,1992,0
B,Mining and quarrying,1993,0
B,Mining and quarrying,1994,0
B,Mining and quarrying,1995,0
B,Mining and quarrying,1996,0
B,Mining and quarrying,1997,0
B,Mining and quarrying,1998,0
B,Mining and quarrying,1999,0
B,Mining and quarrying,2000,0
B,Mining and quarrying,2001,0
B,Mining and quarrying,2002,0
B,Mining and quarrying,2003,0
B,Mining and quarrying,2004,0
B,Mining and quarrying,2005,0
B,Mining and quarrying,2006,0
B,Mining and quarrying,2007,0
B,Mining and quarrying,2008,0
B,Mining and quarrying,2009,0
B,Mining and quarrying,2010,0
B,Mining and quarrying,2011,0
B,Mining and quarrying,2012,0
B,Mining and quarrying,2013,0
B,Mining and quarrying,2014,0
B,Mining and quarrying,2015,0
B,Mining and quarrying,2016,0
B,Mining and quarrying,2017,0
B,Mining and quarrying,2018,0
C,Manufacturing,1990,0.4
C,Manufacturing,1991,0.5
C,Manufacturing,1992,0.5
C,Manufacturing,1993,0.6
C,Manufacturing,1994,0.7
C,Manufacturing,1995,0.8
C,Manufacturing,1996,1
C,Manufacturing,1997,1.1
C,Manufacturing,1998,1.3
C,Manufacturing,1999,1.5
C,Manufacturing,2000,1.7
C,Manufacturing,2001,1
C,Manufacturing,2002,1
C,Manufacturing,2003,1
C,Manufacturing,2004,0.6
C,Manufacturing,2005,0.3
C,Manufacturing,2006,0.3
C,Manufacturing,2007,0.3
C,Manufacturing,2008,0.3
C,Manufacturing,2009,0.3
C,Manufacturing,2010,0.3
C,Manufacturing,2011,0.3
C,Manufacturing,2012,0.3
C,Manufacturing,2013,0.4
C,Manufacturing,2014,0.4
C,Manufacturing,2015,0.4
C,Manufacturing,2016,0.5
C,Manufacturing,2017,0.5
C,Manufacturing,2018,0.6
D,"Electricity, gas, steam and air conditioning supply",1990,0
D,"Electricity, gas, steam and air conditioning supply",1991,0
D,"Electricity, gas, steam and air conditioning supply",1992,0
D,"Electricity, gas, steam and air conditioning supply",1993,0
D,"Electricity, gas, steam and air conditioning supply",1994,0
D,"Electricity, gas, steam and air conditioning supply",1995,0
D,"Electricity, gas, steam and air conditioning supply",1996,0
D,"Electricity, gas, steam and air conditioning supply",1997,0
D,"Electricity, gas, steam and air conditioning supply",1998,0
D,"Electricity, gas, steam and air conditioning supply",1999,0
D,"Electricity, gas, steam and air conditioning supply",2000,0
D,"Electricity, gas, steam and air conditioning supply",2001,0
D,"Electricity, gas, steam and air conditioning supply",2002,0
D,"Electricity, gas, steam and air conditioning supply",2003,0
D,"Electricity, gas, steam and air conditioning supply",2004,0
D,"Electricity, gas, steam and air conditioning supply",2005,0
D,"Electricity, gas, steam and air conditioning supply",2006,0
D,"Electricity, gas, steam and air conditioning supply",2007,0
D,"Electricity, gas, steam and air conditioning supply",2008,0
D,"Electricity, gas, steam and air conditioning supply",2009,0
D,"Electricity, gas, steam and air conditioning supply",2010,0
D,"Electricity, gas, steam and air conditioning supply",2011,0
D,"Electricity, gas, steam and air conditioning supply",2012,0
D,"Electricity, gas, steam and air conditioning supply",2013,0
D,"Electricity, gas, steam and air conditioning supply",2014,0
D,"Electricity, gas, steam and air conditioning supply",2015,0
