industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,30330.2
A,"Agriculture, forestry and fishing",1991,29978.6
A,"Agriculture, forestry and fishing",1992,29966
A,"Agriculture, forestry and fishing",1993,29806.7
A,"Agriculture, forestry and fishing",1994,29903.4
A,"Agriculture, forestry and fishing",1995,29600.6
A,"Agriculture, forestry and fishing",1996,29977.6
A,"Agriculture, forestry and fishing",1997,29738.8
A,"Agriculture, forestry and fishing",1998,29801.9
A,"Agriculture, forestry and fishing",1999,29639.3
A,"Agriculture, forestry and fishing",2000,28666.4
A,"Agriculture, forestry and fishing",2001,27171.3
A,"Agriculture, forestry and fishing",2002,26693.8
A,"Agriculture, forestry and fishing",2003,26906
A,"Agriculture, forestry and fishing",2004,27148.7
A,"Agriculture, forestry and fishing",2005,26832.5
A,"Agriculture, forestry and fishing",2006,26357.5
A,"Agriculture, forestry and fishing",2007,26104.8
A,"Agriculture, forestry and fishing",2008,25331.4
A,"Agriculture, forestry and fishing",2009,25045.7
A,"Agriculture, forestry and fishing",2010,25189.2
A,"Agriculture, forestry and fishing",2011,25070.8
A,"Agriculture, forestry and fishing",2012,24992.1
A,"Agriculture, forestry and fishing",2013,25021.5
A,"Agriculture, forestry and fishing",2014,25504.5
A,"Agriculture, forestry and fishing",2015,25624.7
A,"Agriculture, forestry and fishing",2016,25616.3
A,"Agriculture, forestry and fishing",2017,25714.3
A,"Agriculture, forestry and fishing",2018,25414.2
B,Mining and quarrying,1990,24164.3
B,Mining and quarrying,1991,24663.1
B,Mining and quarrying,1992,24491.1
B,Mining and quarrying,1993,22791.2
B,Mining and quarrying,1994,15861.1
B,Mining and quarrying,1995,17199.7
B,Mining and quarrying,1996,16055.4
B,Mining and quarrying,1997,15420.6
B,Mining and quarrying,1998,13430.3
B,Mining and quarrying,1999,11190.2
B,Mining and quarrying,2000,9772.4
B,Mining and quarrying,2001,8909.6
B,Mining and quarrying,2002,8553.9
B,Mining and quarrying,2003,7237.6
B,Mining and quarrying,2004,6759.7
B,Mining and quarrying,2005,5102.6
B,Mining and quarrying,2006,4615
B,Mining and quarrying,2007,4197
B,Mining and quarrying,2008,4042.4
B,Mining and quarrying,2009,4100.1
B,Mining and quarrying,2010,3923.8
B,Mining and quarrying,2011,3868
B,Mining and quarrying,2012,4029.3
B,Mining and quarrying,2013,2998.3
B,Mining and quarrying,2014,2971.4
B,Mining and quarrying,2015,2589.6
B,Mining and quarrying,2016,1720.9
B,Mining and quarrying,2017,1810
B,Mining and quarrying,2018,1919.9
C,Manufacturing,1990,503.1
C,Manufacturing,1991,495.6
C,Manufacturing,1992,507.7
C,Manufacturing,1993,491
C,Manufacturing,1994,508.8
C,Manufacturing,1995,444.9
C,Manufacturing,1996,442.2
C,Manufacturing,1997,429.9
