industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,8370.2
A,"Agriculture, forestry and fishing",1991,8430.7
A,"Agriculture, forestry and fishing",1992,8409.6
A,"Agriculture, forestry and fishing",1993,8078.7
A,"Agriculture, forestry and fishing",1994,8580.5
A,"Agriculture, forestry and fishing",1995,8592.2
A,"Agriculture, forestry and fishing",1996,8747
A,"Agriculture, forestry and fishing",1997,7895.8
A,"Agriculture, forestry and fishing",1998,8176
A,"Agriculture, forestry and fishing",1999,8195
A,"Agriculture, forestry and fishing",2000,7383.8
A,"Agriculture, forestry and fishing",2001,7253.4
A,"Agriculture, forestry and fishing",2002,7306.1
A,"Agriculture, forestry and fishing",2003,8004.1
A,"Agriculture, forestry and fishing",2004,8017
A,"Agriculture, forestry and fishing",2005,7922.3
A,"Agriculture, forestry and fishing",2006,7622
A,"Agriculture, forestry and fishing",2007,7440.6
A,"Agriculture, forestry and fishing",2008,7277
A,"Agriculture, forestry and fishing",2009,7138.4
A,"Agriculture, forestry and fishing",2010,7226.8
A,"Agriculture, forestry and fishing",2011,7342.8
A,"Agriculture, forestry and fishing",2012,7308.3
A,"Agriculture, forestry and fishing",2013,7085.6
A,"Agriculture, forestry and fishing",2014,7812.1
A,"Agriculture, forestry and fishing",2015,8038.2
A,"Agriculture, forestry and fishing",2016,8570.2
A,"Agriculture, forestry and fishing",2017,8681.8
A,"Agriculture, forestry and fishing",2018,8856.9
B,Mining and quarrying,1990,22015.1
B,Mining and quarrying,1991,22030.7
B,Mining and quarrying,1992,22727.1
B,Mining and quarrying,1993,24034.8
B,Mining and quarrying,1994,26619.4
B,Mining and quarrying,1995,26509.7
B,Mining and quarrying,1996,28897.4
B,Mining and quarrying,1997,28855.8
B,Mining and quarrying,1998,29638.5
B,Mining and quarrying,1999,28956.1
B,Mining and quarrying,2000,28725.9
B,Mining and quarrying,2001,29067.9
B,Mining and quarrying,2002,29417.1
B,Mining and quarrying,2003,27265.7
B,Mining and quarrying,2004,26461.3
B,Mining and quarrying,2005,26158.2
B,Mining and quarrying,2006,24142.3
B,Mining and quarrying,2007,23683.9
B,Mining and quarrying,2008,23011.5
B,Mining and quarrying,2009,22555.8
B,Mining and quarrying,2010,22493.5
B,Mining and quarrying,2011,20045.3
B,Mining and quarrying,2012,18472.3
B,Mining and quarrying,2013,18127.6
B,Mining and quarrying,2014,18155.8
B,Mining and quarrying,2015,19754.8
B,Mining and quarrying,2016,19481.5
B,Mining and quarrying,2017,20204.4
B,Mining and quarrying,2018,19955
C,Manufacturing,1990,138802.4
C,Manufacturing,1991,139458.8
C,Manufacturing,1992,136835.4
C,Manufacturing,1993,134595.4
C,Manufacturing,1994,136797.1
C,Manufacturing,1995,134923.7
C,Manufacturing,1996,136215.4
C,Manufacturing,1997,134176.2
C,Manufacturing,1998,128418.6
C,Manufacturing,1999,130289.6
C,Manufacturing,2000,126965.6
C,Manufacturing,2001,121653.5
C,Manufacturing,2002,115630.2
C,Manufacturing,2003,118669.8
C,Manufacturing,2004,118412.9
C,Manufacturing,2005,118234.9
C,Manufacturing,2006,114440.1
C,Manufacturing,2007,114029.8
