industry_id,industry_name,year,mass_of_air_emissions_per_annum_x1000_tonnes
A,"Agriculture, forestry and fishing",1990,55888
A,"Agriculture, forestry and fishing",1991,55650.2
A,"Agriculture, forestry and fishing",1992,55075.2
A,"Agriculture, forestry and fishing",1993,54145
A,"Agriculture, forestry and fishing",1994,55213.9
A,"Agriculture, forestry and fishing",1995,55022.4
A,"Agriculture, forestry and fishing",1996,55771.4
A,"Agriculture, forestry and fishing",1997,54910.2
A,"Agriculture, forestry and fishing",1998,54947.1
A,"Agriculture, forestry and fishing",1999,54907.8
A,"Agriculture, forestry and fishing",2000,52245.5
A,"Agriculture, forestry and fishing",2001,49858.8
A,"Agriculture, forestry and fishing",2002,49468.4
A,"Agriculture, forestry and fishing",2003,50332.2
A,"Agriculture, forestry and fishing",2004,50318.3
A,"Agriculture, forestry and fishing",2005,49693
A,"Agriculture, forestry and fishing",2006,48378.6
A,"Agriculture, forestry and fishing",2007,47667.6
A,"Agriculture, forestry and fishing",2008,46560.7
A,"Agriculture, forestry and fishing",2009,46185.3
A,"Agriculture, forestry and fishing",2010,46502.6
A,"Agriculture, forestry and fishing",2011,46592.3
A,"Agriculture, forestry and fishing",2012,46396.6
A,"Agriculture, forestry and fishing",2013,46189.3
A,"Agriculture, forestry and fishing",2014,47936
A,"Agriculture, forestry and fishing",2015,47796.3
A,"Agriculture, forestry and fishing",2016,48326.7
A,"Agriculture, forestry and fishing",2017,48817.3
A,"Agriculture, forestry and fishing",2018,48595.1
B,Mining and quarrying,1990,46532.9
B,Mining and quarrying,1991,47051.7
B,Mining and quarrying,1992,47589.6
B,Mining and quarrying,1993,47224
B,Mining and quarrying,1994,42939
B,Mining and quarrying,1995,44178.6
B,Mining and quarrying,1996,45470.4
B,Mining and quarrying,1997,44800.5
B,Mining and quarrying,1998,43613
B,Mining and quarrying,1999,40677.9
B,Mining and quarrying,2000,39033.6
B,Mining and quarrying,2001,38514.4
B,Mining and quarrying,2002,38579.8
B,Mining and quarrying,2003,35026.1
B,Mining and quarrying,2004,33723.8
B,Mining and quarrying,2005,31751.1
B,Mining and quarrying,2006,29208.2
B,Mining and quarrying,2007,28286.8
B,Mining and quarrying,2008,27438.1
B,Mining and quarrying,2009,27049.6
B,Mining and quarrying,2010,26788.4
B,Mining and quarrying,2011,24297.4
B,Mining and quarrying,2012,22864.2
B,Mining and quarrying,2013,21443
B,Mining and quarrying,2014,21479.9
B,Mining and quarrying,2015,22729
B,Mining and quarrying,2016,21589
B,Mining and quarrying,2017,22407.3
B,Mining and quarrying,2018,22266.3
C,Manufacturing,1990,180176.3
C,Manufacturing,1991,181312.3
C,Manufacturing,1992,174239.2
C,Manufacturing,1993,168707.7
C,Manufacturing,1994,171569.6
C,Manufacturing,1995,169065.4
C,Manufacturing,1996,170698
C,Manufacturing,1997,170422.3
C,Manufacturing,1998,160600
C,Manufacturing,1999,144019
C,Manufacturing,2000,138635.9
C,Manufacturing,2001,132056.4
C,Manufacturing,2002,124101.3
C,Manufacturing,2003,126915.7
